phase_index,veh_approach,v_approach,prog_len,halt_approach,phase_remaining,y_extend,action,junction_id,approach_edge_id,t
0.0,4.0,10.303721691346057,6.0,0.0,7.899999999999999,0.0,none,cluster_1879453156_6762399352,177523174#1,19.8
0.0,4.0,9.853721691346058,6.0,0.0,7.900000000000002,0.0,none,cluster_1879453156_6762399352,177523174#1,19.9
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,109.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,109.6
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,109.7
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,109.8
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,109.9
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,110.0
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,110.1
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,110.2
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,110.3
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,110.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,110.6
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,110.7
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,110.8
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,110.9
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,111.0
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,111.1
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,111.2
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,111.3
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,111.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,111.6
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,111.7
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,111.8
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,111.9
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,112.0
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,112.1
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,112.2
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,112.3
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,112.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,112.6
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,112.7
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,112.8
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,112.9
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,113.0
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,113.1
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,113.2
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,113.3
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,113.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,113.6
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,113.7
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,113.8
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,113.9
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,114.0
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,114.1
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,114.2
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,114.3
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,114.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,114.6
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,114.7
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,114.8
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,114.9
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,115.0
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,115.1
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,115.2
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,115.3
0.0,0.0,0.0,6.0,0.0,5.900000000000006,0.0,none,12785982588,-720428928#0,115.5
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,115.6
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,115.7
0.0,0.0,0.0,6.0,0.0,7.900000000000006,0.0,none,12785982588,-720428928#0,115.8
0.0,0.0,0.0,6.0,0.0,7.8999999999999915,0.0,none,12785982588,-720428928#0,115.9
