dist_to_tls,ambulance_speed,queue_length,eta_seconds,phase_index,phase_remaining,y_extend,action,junction_id,approach_edge_id,t
197.92845220800368,27.70062856557779,0.0,7.1452693479295135,0.0,12.0,12.0,extend,3661114771,:1879453046_5,27.6
195.15138335164096,27.770688563627193,0.0,7.0272432354177035,0.0,12.000000000000004,12.0,extend,3661114771,:1879453046_5,27.7
192.37820660404924,27.731767475917007,0.0,6.937105857789826,0.0,11.999999999999996,12.0,extend,3661114771,:1879453046_5,27.8
189.61282103995507,27.653855640941767,0.0,6.856650425238775,0.0,12.0,12.0,extend,3661114771,:1879453046_5,27.9
186.8445497998455,27.682712401095777,0.0,6.749502978344331,0.0,12.0,12.0,extend,3661114771,:1879453046_5,28.0
184.07887418195273,27.65675617892761,22.5,6.655837473890273,0.0,12.0,12.0,extend,3661114771,-177523149#11,28.1
181.30581950988824,27.730546720644927,22.5,6.538126396725857,0.0,12.000000000000004,12.0,extend,3661114771,-177523149#11,28.2
178.5325147584185,27.73304751469754,22.5,6.437536829077387,0.0,11.999999999999996,12.0,extend,3661114771,-177523149#11,28.3
175.76711910383816,27.653956545803233,22.5,6.3559483364601075,0.0,12.0,12.0,extend,3661114771,-177523149#11,28.4
172.9975752149126,27.695438889255747,22.5,6.24642837063058,0.0,12.0,12.0,extend,3661114771,-177523149#11,28.5
170.22428628328296,27.732889316296205,22.5,6.13799320878034,0.0,12.0,12.0,extend,3661114771,-177523149#11,28.6
167.45909423967328,27.651920436096844,22.5,6.055966153478151,0.0,12.000000000000004,12.0,extend,3661114771,-177523149#11,28.7
164.69162375136062,27.674704883126545,22.5,5.950980306632799,0.0,11.999999999999996,12.0,extend,3661114771,-177523149#11,28.8
161.92511526288482,27.66508488475811,22.5,5.853049644973125,0.0,12.0,12.0,extend,3661114771,-177523149#11,28.9
159.1555336049336,27.69581657951232,22.5,5.746555013029194,0.0,12.0,12.0,extend,3661114771,-177523149#11,29.0
156.38371291136062,27.71820693572983,22.5,5.641913031169993,0.0,12.0,12.0,extend,3661114771,-177523149#11,29.1
153.6058444937255,27.778684176350946,22.5,5.529629968020444,0.0,12.000000000000004,12.0,extend,3661114771,-177523149#11,29.2
150.83625672001014,27.69587773715379,22.5,5.4461627160371435,0.0,11.999999999999996,12.0,extend,3661114771,-177523149#11,29.3
148.0624614802205,27.737952397896443,22.5,5.337901635862965,0.0,12.0,12.0,extend,3661114771,-177523149#11,29.4
145.29283527123272,27.696262089877855,22.5,5.2459366104978065,0.0,12.0,12.0,extend,3661114771,-177523149#11,29.5
142.5202873372819,27.725479339507874,22.5,5.140408416102487,0.0,12.0,12.0,extend,3661114771,-177523149#11,29.6
139.75261987921192,27.676674580699764,22.5,5.049472958599872,0.0,12.000000000000004,12.0,extend,3661114771,-177523149#11,29.7
136.97663132830866,27.759885509032756,22.5,4.9343370412582575,0.0,11.999999999999996,12.0,extend,3661114771,-177523149#11,29.8
134.2054558428423,27.71175485466374,22.5,4.842907154263319,0.0,12.0,12.0,extend,3661114771,-177523149#11,29.9
131.4364784312506,27.68977411591681,22.5,4.746751558211429,0.0,12.0,12.0,extend,3661114771,-177523149#11,30.0
128.6700302250813,27.66448206169298,22.5,4.651091241764137,0.0,12.0,12.0,extend,3661114771,-177523149#11,30.1
125.90035232480632,27.696779002749828,22.5,4.545667650101353,0.0,12.000000000000004,12.0,extend,3661114771,-177523149#11,30.2
123.13284851384995,27.675038109563758,22.5,4.449238625304675,0.0,11.999999999999996,12.0,extend,3661114771,-177523149#11,30.3
120.3576525052401,27.751960086098407,22.5,4.336906371003683,0.0,12.0,12.0,extend,3661114771,-177523149#11,30.4
117.59092978992794,27.667227153121495,22.5,4.250188468079317,0.0,12.0,12.0,extend,3661114771,-177523149#11,30.5
114.82531738378006,27.656124061478767,22.5,4.151894789325022,0.0,12.0,12.0,extend,3661114771,-177523149#11,30.6
112.05517973473194,27.7013764904812,22.5,4.045112334877531,0.0,12.000000000000004,12.0,extend,3661114771,-177523149#11,30.7
109.2897645531524,27.65415181579534,22.5,3.9520201263496677,0.0,11.999999999999996,12.0,extend,3661114771,-177523149#11,30.8
106.51552772644828,27.742368267041165,22.5,3.83945331203004,0.0,12.0,12.0,extend,3661114771,-177523149#11,30.9
103.74649287270094,27.690348537473476,22.5,3.7466661978739753,0.0,12.0,12.0,extend,3661114771,-177523149#11,31.0
100.98138381127772,27.651090614232235,22.5,3.6519855661426175,0.0,12.0,12.0,extend,3661114771,-177523149#11,31.1
98.20486871650552,27.76515094772214,22.5,3.536983065621052,0.0,12.000000000000004,12.0,extend,3661114771,-177523149#11,31.2
95.42778373765611,27.770849788493944,22.5,3.436257243276505,0.0,11.999999999999996,12.0,extend,3661114771,-177523149#11,31.3
92.66245930413172,27.653244335243944,22.5,3.3508711737679837,0.0,12.0,12.0,extend,3661114771,-177523149#11,31.4
89.89602847920979,27.66430824921932,22.5,3.249531044454966,0.0,12.0,12.0,extend,3661114771,-177523149#11,31.5
87.12230624925034,27.737222299594432,22.5,3.1409888599596445,0.0,12.0,12.0,extend,3661114771,-177523149#11,31.6
84.35591329301442,27.66392956235912,22.5,3.04931058701773,0.0,12.000000000000004,12.0,extend,3661114771,-177523149#11,31.7
81.58695304044863,27.689602525657975,22.5,2.9464833583236825,0.0,11.999999999999996,12.0,extend,3661114771,-177523149#11,31.8
78.80996414435926,27.769888960893734,22.5,2.837964683810636,0.0,12.0,12.0,extend,3661114771,-177523149#11,31.9
